u,v,X,Y,Z
880,214,312.747,309.140,30.086
43,203,305.796,311.649,30.356
270,197,307.694,312.358,30.418
886,347,310.149,307.186,29.298
745,302,311.937,310.105,29.216
943,128,311.202,307.572,30.682
476,590,307.106,306.876,28.660
419,214,309.317,312.490,30.230
317,335,307.435,310.151,29.318
783,521,308.253,306.300,28.881
235,427,306.650,309.301,28.905
665,429,308.069,306.831,29.189
655,362,309.671,308.834,29.029
427,333,308.255,309.955,29.267
412,415,307.546,308.613,28.963
746,351,311.036,309.206,28.913
434,415,307.518,308.175,29.069
525,234,309.950,311.262,29.990
716,308,312.160,310.772,29.080
602,187,311.988,312.709,30.514
